,playerID,year,score,player_seasonID,bioID,useFirst,lastName,pos,height,weight
1382,webbech01,2002,2.0,webbech012002,webbech01,Chris,Webber,F-C,81.0,245.0
1383,wedmasc01,1979,1.0,wedmasc011979,wedmasc01,Scott,Wedman,F-G,79.0,215.0
1384,westbru01,2008,0.0,westbru012008,westbru01,Russell,Westbrook,G,75.0,187.0
1385,westbru01,2010,2.0,westbru012010,westbru01,Russell,Westbrook,G,75.0,187.0
1386,westbru01,2011,2.0,westbru012011,westbru01,Russell,Westbrook,G,75.0,187.0
1387,westbru01,2012,2.0,westbru012012,westbru01,Russell,Westbrook,G,75.0,187.0
1388,westbru01,2014,2.0,westbru012014,westbru01,Russell,Westbrook,G,75.0,187.0
1389,westbru01,2015,3.0,westbru012015,westbru01,Russell,Westbrook,G,75.0,187.0
1390,westbru01,2016,8.0,westbru012016,westbru01,Russell,Westbrook,G,75.0,187.0
1391,westbru01,2017,2.0,westbru012017,westbru01,Russell,Westbrook,G,75.0,187.0
1392,westbru01,2018,1.0,westbru012018,westbru01,Russell,Westbrook,G,75.0,187.0
1393,westje01,1961,3.0,westje011961,westje01,Jerry,West,G-F,74.0,175.0
1394,westje01,1962,3.0,westje011962,westje01,Jerry,West,G-F,74.0,175.0
1395,westje01,1963,3.0,westje011963,westje01,Jerry,West,G-F,74.0,175.0
1396,westje01,1964,3.0,westje011964,westje01,Jerry,West,G-F,74.0,175.0
1397,westje01,1965,3.0,westje011965,westje01,Jerry,West,G-F,74.0,175.0
1398,westje01,1966,3.0,westje011966,westje01,Jerry,West,G-F,74.0,175.0
1399,westje01,1967,2.0,westje011967,westje01,Jerry,West,G-F,74.0,175.0
1400,westje01,1968,6.0,westje011968,westje01,Jerry,West,G-F,74.0,175.0
1401,westje01,1969,5.0,westje011969,westje01,Jerry,West,G-F,74.0,175.0
1402,westje01,1970,5.0,westje011970,westje01,Jerry,West,G-F,74.0,175.0
1403,westje01,1971,5.0,westje011971,westje01,Jerry,West,G-F,74.0,175.0
1404,westje01,1972,5.0,westje011972,westje01,Jerry,West,G-F,74.0,175.0
1405,westppa01,1976,3.0,westppa011976,westppa01,Paul,Westphal,G,76.0,192.0
1406,westppa01,1977,2.0,westppa011977,westppa01,Paul,Westphal,G,76.0,192.0
1407,westppa01,1978,3.0,westppa011978,westppa01,Paul,Westphal,G,76.0,192.0
1408,westppa01,1979,3.0,westppa011979,westppa01,Paul,Westphal,G,76.0,192.0
1409,westppa01,1982,0.0,westppa011982,westppa01,Paul,Westphal,G,76.0,192.0
1410,whiteha01,2015,1.0,whiteha012015,whiteha01,Hassan,Whiteside,C,84.0,235.0
1411,whitejo01,1974,2.0,whitejo011974,whitejo01,Jo Jo,White,G,75.0,190.0
1412,whitejo01,1975,3.0,whitejo011975,whitejo01,Jo Jo,White,G,75.0,190.0
1413,whitejo01,1976,2.0,whitejo011976,whitejo01,Jo Jo,White,G,75.0,190.0
